universe_id,index_name,ticker,effective_date,action,known_date,source,source_kind
sp500,S&P 500,DDOG,2025-07-09,Addition,2025-07-02,https://press.spglobal.com/2025-07-02-Datadog-Set-to-Join-S-P-500,index_announcement
sp500,S&P 500,JNPR,2025-07-09,Deletion,2025-07-02,https://press.spglobal.com/2025-07-02-Datadog-Set-to-Join-S-P-500,index_announcement
sp500,S&P 500,TTD,2025-07-18,Addition,2025-07-14,https://press.spglobal.com/2025-07-14-The-Trade-Desk-Set-to-Join-S-P-500,index_announcement
sp500,S&P 500,ANSS,2025-07-18,Deletion,2025-07-14,https://press.spglobal.com/2025-07-14-The-Trade-Desk-Set-to-Join-S-P-500,index_announcement
sp500,S&P 500,XYZ,2025-07-23,Addition,2025-07-18,https://press.spglobal.com/2025-07-18-Block-Set-to-Join-S-P-500,index_announcement
sp500,S&P 500,HES,2025-07-23,Deletion,2025-07-18,https://press.spglobal.com/2025-07-18-Block-Set-to-Join-S-P-500,index_announcement
sp500,S&P 500,PSKY,2025-08-07,Addition,2025-07-25,https://ir.paramount.com/news-releases/news-release-details/paramount-and-skydance-announce-anticipated-closing-date,issuer_announcement
sp500,S&P 500,PARA,2025-08-07,Deletion,2025-07-25,https://ir.paramount.com/news-releases/news-release-details/paramount-and-skydance-announce-anticipated-closing-date,issuer_announcement
sp500,S&P 500,IBKR,2025-08-28,Addition,2025-08-25,https://press.spglobal.com/2025-08-25-Interactive-Brokers-Group-Set-to-Join-S-P-500%2C-Talen-Energy-to-Join-S-P-MidCap-400-and-Kinetik-Holdings-to-Join-S-P-SmallCap-600,index_announcement
sp500,S&P 500,WBA,2025-08-28,Deletion,2025-08-25,https://press.spglobal.com/2025-08-25-Interactive-Brokers-Group-Set-to-Join-S-P-500%2C-Talen-Energy-to-Join-S-P-MidCap-400-and-Kinetik-Holdings-to-Join-S-P-SmallCap-600,index_announcement
sp500,S&P 500,APP,2025-09-22,Addition,2025-09-05,https://press.spglobal.com/2025-09-05-AppLovin%2C-Robinhood-Markets-and-Emcor-Group-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,HOOD,2025-09-22,Addition,2025-09-05,https://press.spglobal.com/2025-09-05-AppLovin%2C-Robinhood-Markets-and-Emcor-Group-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,EME,2025-09-22,Addition,2025-09-05,https://press.spglobal.com/2025-09-05-AppLovin%2C-Robinhood-Markets-and-Emcor-Group-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,MKTX,2025-09-22,Deletion,2025-09-05,https://press.spglobal.com/2025-09-05-AppLovin%2C-Robinhood-Markets-and-Emcor-Group-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,CZR,2025-09-22,Deletion,2025-09-05,https://press.spglobal.com/2025-09-05-AppLovin%2C-Robinhood-Markets-and-Emcor-Group-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,ENPH,2025-09-22,Deletion,2025-09-05,https://press.spglobal.com/2025-09-05-AppLovin%2C-Robinhood-Markets-and-Emcor-Group-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,SOLS,2025-10-30,Addition,2025-10-27,https://press.spglobal.com/2025-10-27-Solstice-Advance-Materials-and-Qnity-Electronics-Set-to-Join-S-P-500-Others-to-Join-S-P-SmallCap-600,index_announcement
sp500,S&P 500,KMX,2025-10-31,Deletion,2025-10-27,https://press.spglobal.com/2025-10-27-Solstice-Advance-Materials-and-Qnity-Electronics-Set-to-Join-S-P-500-Others-to-Join-S-P-SmallCap-600,index_announcement
sp500,S&P 500,Q,2025-11-03,Addition,2025-10-27,https://press.spglobal.com/2025-10-27-Solstice-Advance-Materials-and-Qnity-Electronics-Set-to-Join-S-P-500-Others-to-Join-S-P-SmallCap-600,index_announcement
sp500,S&P 500,EMN,2025-11-04,Deletion,2025-10-27,https://press.spglobal.com/2025-10-27-Solstice-Advance-Materials-and-Qnity-Electronics-Set-to-Join-S-P-500-Others-to-Join-S-P-SmallCap-600,index_announcement
sp500,S&P 500,FISV,2025-11-11,Addition,2025-10-29,https://investors.fiserv.com/news-releases/news-release-details/fiserv-announces-transfer-stock-exchange-listing-nasdaq,issuer_announcement
sp500,S&P 500,FI,2025-11-11,Deletion,2025-10-29,https://investors.fiserv.com/news-releases/news-release-details/fiserv-announces-transfer-stock-exchange-listing-nasdaq,issuer_announcement
sp500,S&P 500,SNDK,2025-11-28,Addition,2025-11-24,https://press.spglobal.com/2025-11-24-Sandisk-Set-to-Join-S-P-500-Upwork%2C-First-Interstate-BancSystem%2C-PTC-Therapeutics-to-Join-S-P-SmallCap-600,index_announcement
sp500,S&P 500,IPG,2025-11-28,Deletion,2025-11-24,https://press.spglobal.com/2025-11-24-Sandisk-Set-to-Join-S-P-500-Upwork%2C-First-Interstate-BancSystem%2C-PTC-Therapeutics-to-Join-S-P-SmallCap-600,index_announcement
